,title,genres,original_language,production_companies,budget,revenue,runtime (minutes),status,release_year,synopsis,fem,rotten_score,audience_score
584,Life and Death in the Warehouse,Drama,en,BBC,0,0,59,Released,2022,"Follows Megan who in a desperate attempt to keep her new job at a Welsh warehouse presses Alys – who is pregnant – to get her ""pick rate"" up putting her and her baby at risk.",1,,
588,Best Laid Plans,Thriller,en,Random Media-Outside Our Means,0,0,83,Released,2022,Remy is a single mother struggling to pay her bills. She gets the opportunity to make some extra cash when her boss calls her for a last-minute job. Reluctantly she takes the job but finds herself taken hostage when she arrives and now she must help the homeowner stay alive.,1,43,39
592,Straighten Up and Fly Right,Drama,en,Another Urban Riff Production,0,0,88,Released,2022,In a funk Kristen a physically disabled New York woman walks dogs for a living but dreams of being a writer and as her life unravels she must make a choice to fall apart or straighten up.,1,100,
594,Alone Together,Horror-Drama-Thriller,en,Sofa Cinemas,0,0,88,Released,2022,When an evil presence enters her home a young girl must confront the dark past of her relationship and her faith.,1,,
595,Acidman,Drama,en,CTB Film Company,0,0,87,Released,2022,After a decade apart Maggie tracks down her elusive father. His fixation with UFOs has intensified over the years which frustrates her attempts to communicate some big news.,1,80,
597,A Day in the Life of a Teddy Bear,Romance,en,Shanghai Insane Media-Filmiki Etairia-Feelgood Entertainment,0,0,105,Released,2022,Jinxi is a violinist about to fulfill her dream of moving to Vienna to continue with her music studies. While trying to settle her affairs before departing her encounter with Panos a Greek architect newly arrived to Shanghai will have a disrupting effect on her life. During the course of one day their relationship will go through ups and downs and bring them in front of life-changing dilemmas.,1,,
602,Father & Son,Drama,en,Klikfilm Production,0,0,76,Released,2022,Iman an unpopular teenager at school spends her days caring for a father who is completely disabled leaving no social opportunities. After the father died there was closeness between father and son. It's just that his father is now in the form of an ignorant spirit which leads him to find love and rise up against the bullies at school.,1,,
606,Pact of Vengeance,Action-Thriller,en,KillerWolf Films,0,0,82,Released,2022,"Zian a retired special forces commander (played by Leo Fong) now runs an auto body shop in the tough inner city. The inner city is now being taken over by ""the Black Roses"" a ruthless gang of punks who are making rounds collecting ""turf money"" from local businesses. When Zian refuses to comply with the gang's demands the Black Roses assault his grand-daughter and leave her for dead. Now with nowhere else to turn and the gang's power only increasing Zian calls on his old special forces team ""The Obliterators"" to come in and serve their own brand of justice.",1,,
608,Doctor Who: Eve of the Daleks,Adventure-Drama-Science Fiction,en,BBC,0,0,59,Released,2022,New Year's Eve. Sarah is working - again. Nick is her only customer - again. Same old same old. Except this year their countdown to midnight will be the strangest they have ever known. Why is an executioner Dalek targeting these two people in this place on this night? Why are they having to live through the same moments? Can the Doctor Yaz and Dan save them and survive into the New Year?,1,,
610,Roving Woman,Drama-Mystery,en,Friends With Benefits Studio-Amor Vacui,0,0,95,Released,2022,A break-up leaves Sarah reeling and directionless standing alone on her ex's doorstep in a ballgown. Following her impulses she starts to drive through the desert and makes unexpected connections along the way.,1,86,
617,Manny,Science Fiction,en,Marana Productions-Sonal Sehgal Films,0,0,71,Released,2022,Journey of a woman on a writer's retreat struggling with her identity as a closet homosexual. Her life unfolds through three love interests one real one a figment of her imagination and the third virtual - man woman and AI.,1,25,65
618,A Bit of Light,Drama,en,Great Point Media-Pont Neuf Productions-ICM Partners-The Gersh Agency-Infinity Hill-Shorelight Pictures,0,0,98,Released,2022,Ella at almost forty is forced to move back in with her father Alan. She's trying to stay sober having temporarily given up custody of her young daughters to her ex-husband Joseph and his new partner Bethan.,1,,
621,Clandestine,Drama-Thriller,en,Klikfilm Production-Canary Studio-Limelight Pictures,0,0,60,Released,2022,Yoko the only daughter of Pak Pras a retired soldier was taken hostage with her school friend Damar. The hostage taker's demands were to ask for some money from Pras and his members who had previously been involved in a military operation. The anti-terror police are trying to negotiate with the hostage-taker so that there are no victims. The anti-terror police involved Damar's father and the school to launch the negotiation process.,1,,
625,Selimut Kabut Rongkong,Drama,en,SKV Movie Entertainment-Mentari Indonesia Production,0,0,107,Released,2022,Bunga Melati a travel activist who visits the mountain village of Rongkong to become a volunteer teacher. In the midst of his activities he found an extinct community tradition. A tradition that he later applied to the children of the villagers. Bunga Melati did not think she was trapped in a community conflict related to the polemic of customary land. Because his educational process was disrupted he survived a group of businessmen tried to eliminate him. Flowers are considered to have provoked residents. In the process of his escape Bunga was thrown into the forest. After experiencing various pressures Bunga finally finds out that all the events she has gone through have long been written in a book written by her own mother.,1,,
627,Fallen Angels Murder Club : Friends to Die For,Mystery-Thriller-TV Movie,en,Lifetime-Brain Power Studio,0,0,85,Released,2022,The members of the Fallen Angels Murder Club must have two things in common — a love for books and have a criminal record. Hollis Morgan meets both requirements. When a member of her book club is murdered in a scene straight out of the previous night’s novel Hollis becomes the subject of police scrutiny. Refusing to get stuck with another bad rap Hollis sets out to investigate her fellow club members and after a second book-inspired murder she races to identify the killer before she becomes the next victim.,1,,
649,Pursuit of Freedom,Drama,en,Homesick Media-Story Light,0,0,95,Released,2022,Inspired by the incredible true story of a woman who was abducted in the night torn from her children and sold into trafficking after her husband lost her in a night of gambling.,1,83,
660,Kate Garraway: Caring for Derek,TV Movie,en,Flicker Productions,0,0,60,Released,2022,Kate Garraway and her husband Derek share the upheaval that has dominated their family's lives as they care for Derek following being critically ill in hospital with Covid.,1,,
665,Sumaira Shaikh: Dongri Danger,Comedy,en,OML Entertainment-Motormouth,0,0,56,Released,2022,Dawood Gangsters Mayyat and Rahul these are a few of the many things stand-up comedian Sumaira Shaikh talks about in her first stand-up special. Born in the gullies of Mumbai 9 Sumaira’s dark observations on what is your rank in your friend's group how tsunamis are the best relaxation videos and how her father once met Dawood will leave you in splits and make you uncomfortable.,1,,
668,The Man in Room 6,Horror-Fantasy,en,Live or Die Productions-Middle West Movies,0,0,151,Released,2022,Carrie (Jackie Kelly) is a socially-troubled young woman trying to mend a strained relationship with her mother. After her grandfather dies in a nursing home Carrie finds herself attracted to William (Bill Oberst Jr.) an elderly man in a neighboring room. William's doctor offers Carrie a part-time position with the nursing home to keep tabs on the old man. William shares a series of tall tales from his life as a younger man. He claims to be immortal cursed to never die but to grow old and sick. Before he can finish his final tale William mysteriously disappears and Carrie is implicated in his murder.,1,,
671,Satu Untuk Selamanya,Drama-Horror,en,Klikfilm Production-Canary Studio-Limelight Pictures,0,0,70,Released,2022,Salma who had left her two best friends Alex and Ziva 9 years ago brought her back to her birth. Salma's return got a strong reaction from Alex who felt very hurt because Salma just left their motorcycle gang without having time to say goodbye. This situation makes Salma have to try hard to win the hearts of Alex and Ziva in order to carry out their dream that had never been realized before: namely driving on a sacred path called Route 18.,1,,
676,A Little Love Package,Drama,en,Filmy Wiktora-Little Magnet Films,0,0,81,Released,2022,Vienna 2019 – the end of an era. The smoking ban in public places means that a part of Kaffeehaus culture has disappeared. Of all moments this is the one that Angeliki chooses to buy an apartment with help from her interior designer friend Carmen. Angeliki seems to have something against all of them: either the parquet floors creak the tiles are the wrong colour or she is bothered by the proximity to a restaurant. How will she ever find a new home in this environment? Carmen feels like she’s talking to a brick wall. Moreover she simply cannot understand why Angeliki is refusing to part with her money. A Journey from Vienna to Malaga via salt flats overcast by mysterious shadows. A homage to the Austrian capital and the bygone splendour in ordinary things.,1,,
691,Our Almost Completely True Story,Comedy-Drama-Romance,en,Silent Crow Arts-Long Story Short Pictures-Painted Guitar-Rounding Third Films,0,0,92,Released,2022,Mariette Hartley has been acting for over 60 years. She has an Emmy has been nominated 5 times has 3 Clios done Broadway hundreds of TV series films like “Ride the High Country” and “1969” and those Polaroid commercials. A friend pressures her to tackle online dating. Jerry had a thriving voice-over career in N.Y. so he moved to L.A. to do TV and hasn’t worked since. How they meet in a bird store (the parrot section) tells it all... almost.,1,,
695,Deep Hatred,Horror,en,Tortuga Studios-44 Filmes-Iron Chest Films,0,0,74,Released,2022,A young woman named Cindy returns to her family home after the death of her father and soon realizes that the house holds a terrible secret that puts her and her friends in danger.,1,,
710,Follow Her,Thriller-Horror-Mystery,en,Dolger Films,0,0,95,Released,2022,An aspiring actress responds to a mysterious classified ad and finds herself trapped in her new boss's twisted revenge fantasy.,1,86,
719,The Moon & Back,Comedy,en,Prodigium Pictures-Wayfarer Studios,0,0,74,Released,2022,One year after her father's death a high school senior discovers the epic screenplay for a terrible space opera — written by her dad. Equipped with just a VHS camera and pocket change she decides to make this script a reality.,1,,
722,Susie Searches,Comedy-Thriller-Mystery,en,141 Entertainment,0,0,105,Released,2022,Susie is an awkward college student who seizes the opportunity to bolster her popularity and her under-the-radar true-crime podcast by solving the disappearance of a classmate but her investigation reveals that the truth and Susie aren’t at all what they seem to be.,1,67,
724,Millie Lies Low,Comedy-Drama,en,Sandy Lane Productions-Lie Low Limited,0,0,100,Released,2022,A panic attack causes Millie to miss her flight to New York. Everyone thinks she’s made it though thanks to her fake Instagram posts from the “Big Apple”. A tragicomic hunt for a new ticket ensues as she attempts to beat the clock her fears and the truth.,1,87,
725,High Expectations,Drama-Family,en,Vitamin A Films-CDW Films,0,0,96,Released,2022,Jack Davis finds himself adrift after his father the legendary Coach Davis cuts him from his renowned soccer club the Carolina Mantis. Estranged from his father at odds with his brother Mantis All-Star goalie Sam and desperate for purpose Jack turns to his ex-girlfriend Sophia. Jack is inspired by her tough love and unwavering pursuit to become a recording artist.  He tackles his depression and takes one last shot at his lifelong dream by trying out for a rival soccer club. Can Jack finally prove that he is worthy of his dad's love?  Can he forgive and believe in second chances?,1,,97
726,The Demon's Child,Horror,en,ITN Distribution,0,0,87,Released,2022,In search for her missing sister a young woman takes a job as a nurse to a young boy in a coma and hunts for clues in his sinister family home.,1,,
727,Old Flames Never Die,TV Movie-Thriller-Action-Crime-Drama,en,The Ninth House-Anchor Bay Entertainment,0,0,90,Released,2022,Kira Young a successful novelist returns to her hometown in order to escape bad press after Tyson her cheating fiance is accused of murder. She rekindles a romance in the form of a one-night stand with her high school sweetheart Weston Wade. Soon after Weston develops an unhealthy obsession with Kira.,1,,
728,Snapshot of Love,TV Movie-Comedy-Romance,en,G It's Entertainment-Nicely Entertainment,0,0,90,Released,2022,Adrian is a Hollywood paparazzi assigned to get photos of a very elusive star Parker Bennett. Little does she know she'll get her chance when they both end up at the same BNB in the mountains of NC.,1,,
729,The Prank,Comedy-Thriller-Crime,en,Sneak Preview Productions-XRM Media,0,0,90,Released,2022,After their teacher fails them two high school students decide to teach the imperious demanding instructor a lesson by falsely accusing her of the murder of a missing student.,1,,
734,Pieces of Her,Crime-Drama-Mystery-Thriller,en,Endeavor Content-Made Up Stories,0,0,409,Released,2022,When a Saturday afternoon trip to the mall with her mother suddenly explodes into violence an adrift young woman's conception of her mother is forever changed.,1,,
737,"Hayya 2: Hope, Dream and Reality",Drama,en,Warna Pictures,0,0,100,Released,2022,Traumatized by the conflict situation that occurred in Palestine made Hayya not want to be sent home and fled again so that he could live in Indonesia. While on the run Hayya meets Lia a beautiful and kind woman who thinks Hayya is her son.  Hayya was invited by Lia to stay at his house and meet with Faisal. Faisal who was initially confused by Hayya's presence finally considered Hayya a savior for his domestic life. Elsewhere Rahmat Adhin and Ricis continue to look for Hayya. Then one by one the veil of the Faisal family opened until at its peak a tragedy befell Hayya making the situation complex and tense.,1,,
738,Adopting Audrey,Drama,en,Blackbird Films,0,0,92,Released,2022,An adult woman puts herself up for adoption and forms a bond with the misanthropic patriarch of her adoptive family. Based on a true story.,1,79,85
741,Fanga,Fantasy-Horror,en,Teenager,0,0,105,Released,2022,An unstable farm girl becomes prisoner to a flesh-eating beast to cure her father's illness.,1,,
743,Quantum Cowboys,Animation,en,Fit Via Vi,0,0,105,Released,2022,Two hapless drifters Frank and Bruno team up with Linde to recover her land and trek across 1870's Southern Arizona to find an elusive frontier musician. The complex quantum time theory is blended with philosophical musings about art as the way we understand our history and memories with gunfights horses dance halls cacti and saloons!,1,,
746,Deadly Doula,Thriller-TV Movie-Drama,en,Triventure Films-Burnt House Productions-Dawn Power,0,0,85,Released,2022,When Hailey’s final stage of pregnancy is threatened by the arrival of a new doula she must stay one step ahead for the sake of her unborn child.,1,,
747,You Resemble Me,Drama,en,CNC-RYOT Films-The Othrs-Level Forward-Vice Studios-Willa Productions-Foothill Productions-D'Artagnan-Hameda’s Stories-Quiet,0,0,90,Released,2022,Two sisters are abruptly separated the eldest Hasna struggles to find her identity and place in the world.,1,94,92
748,Hanging on to Love,Comedy-Romance,en,Maverick Entertainment Group,0,0,75,Released,2022,Serial dater Jewel cannot seem to find love until she starts to fall for the owner of her dry cleaners.,1,,
752,Just Swipe,Comedy-Romance,en,Thomas Lipper Productions,0,0,83,Released,2022,Vanessa has always had trouble in the dating world never mind now being confined to her home. She soon discovers just how much you can get away with dating via webcam but is the love she feels true or only a distorted version of reality?,1,,
757,The Listener,Drama,en,Sight Unseen Pictures-Hantz Motion Pictures-Olive Productions,0,0,96,Released,2022,Beth is a helpline volunteer – part of the small army that gets on the phone every night across America fielding calls from all kinds of people feeling lonely broken hopeless. Over the last year the tide has become a tsunami. As Beth goes through her shift the stakes rise: is this the night she will lose someone? Save someone? Eventually Beth’s own story comes to light revealing why she does it. All along we remain with her: listening comforting connecting – patching the world back together one stitch at a time.,1,,
758,Romeo & Juliet Killers,Thriller-Crime,en,Cartel Pictures,0,0,107,Released,2022,A dramatization of the ripped from the headlines true crime story of a rebellious teen and her boyfriend who murdered her single mother.,1,,
761,Kamu Tidak Sendiri,Thriller-Drama-Comedy-Horror,en,MNC Pictures,0,0,108,Released,2022,An ambitious career woman is taking an elevator to her office in a hurry and in the elevator there is one of her coworkers and they are both trapped in the elevator and have to wait until the elevator technician comes.,1,,
767,The Death of April,Mystery-Horror,en,MojoCreative Group,0,0,90,Released,2022,Meagan Mullen freshly moved in her new home keeps in touch with her friends and family through a video blog. As her entries (and her life) become more complex and emotional strange things begin to happen in her room and the camera captures all of it.,1,,
768,Blight,Horror-Drama,en,Strange Door Films,0,0,75,Released,2022,One year ago Logan mysteriously disappears while on a camping trip. Her welcome home party is thrown into chaos with a series of mysterious earthquakes and power outages.,1,,
770,Unfinished,Thriller,en,Global Genesis Group,0,0,101,Released,2022,Writer Zora Matthews is the daughter of famous author Thomas Morgan Matthews who died a year ago. Both Zora and Thomas suffer from schizophrenia. After a fight with husband Drew Zora escapes to her father's hideaway house in beautiful Topanga Canyon. There Zora is introduced to bartender Eddie his wife Lorena and handyman Amadi. They all talk cryptically about how Zora's father changed their world. The stress triggers Zora's schizophrenia and her dreams become horrific as she slowly discovers that her father's past included grisly murder and suicide and the ghosts of his actions are back to haunt her and drive her insane.,1,,
774,Bukan Cinderella,Drama-Romance,en,Super Media Pictures,0,0,88,Released,2022,A teenage girl who is not Cinderella is met with a man who brings her shoe next to it so that they can love each other change friendship from enmity unite families and get the most valuable value to respect her life and others.,1,,
776,The Year Between,Drama,en,Chicago Media Angels-Level Forward-Full Spectrum Features,0,0,94,Released,2022,Forced to return home from college after her erratic behavior alienates everyone around her Clemence begrudgingly begins a new chapter in the suburbs hell-bent on defying her mom dad younger siblings therapist—and a diagnosis of bipolar disor...,1,77,79
781,Crushed Wings,Drama-Crime,en,Cam Buddha Films Ltd,0,0,98,Released,2022,Ria a seven-year-old girl growing up in a village is led by her mother to a place where a group of women from her community await her. Here she is mutilated by an unqualified cutter who completes the cultural FGM-ritual that ensures she will one day be taken as a wife. The child once old enough goes on to be forcibly married and moved away from her family to the England. Eventually Ria seeks help in escaping the life she is trapped in but the life of her two younger sisters hang in the balance. Can she change her elders' minds and prevent them from being led down the same path? Or will they become three more of 200 million women across the globe whose wings have been crushed by FGM?,1,,
788,Monica,Drama,en,RAI-The Exchange-Varient-Fenix Entertainment-Alacran Pictures-Solo Five Productions-Propaganda Italia-Melograno Films-Cinetrain-Hudson Entertainment,0,0,106,Released,2022,The intimate portrait of a woman who returns home to care for her dying mother. A delicate and nuanced story of a fractured family the story explores universal themes of abandonment aging acceptance and redemption.,1,,
793,Single Black Female,Thriller-TV Movie,en,Lifetime,0,0,85,Released,2022,Monica is looking for a fresh start as she tries to land a gig as the host of an afternoon talk show. Then she hires Simone to be her personal assistant and the pair become close friends. But underneath her sweet exterior Simone harbors a dark secret and plans to take over Monica's life for good.,1,,9
797,The Curious Case of Dolphin Bay,TV Movie-Family-Drama,en,The Steve Jaggi Company,0,0,83,Released,2022,It follows 15-year old Quinn Perkins who will be spending the summer working as an intern with her best friend Daniela. Mysterious events start to occur and they assume that they are being haunted by local legend Everly Fallow.,1,,
800,The Song to My Heart,TV Movie-Comedy-Romance-Family-Music,en,Reel One Entertainment-CMW Horizon Productions,0,0,85,Released,2022,After a childhood on the road with her legendary singer-songwriter father organic teashop owner Bonnie Highstreet wants nothing to do with the music business but when she helps music sensation Ryder Jamison develop lyrics for his new solo album she rekindles her long abandoned dream and falls in love.,1,,
801,She Went Missing,Thriller-TV Movie,en,CMW Summer Productions,0,0,85,Released,2022,When investigative reporter Maya learns that her childhood best friend has gone missing she decides to cover the story herself. But just as her return to her hometown unearths memories and rekindles past relationships it also brings a long dormant (and still totally unknown) stalker that she had years ago. As her investigation deepens the danger strikes closer and closer to home. Will she uncover the truth about her friend’s disappearance? Or will Maya herself wind up being the next tragic news story?,1,,
806,The Sound of Violet,Comedy-Drama-Romance,en,Morning Star Pictures,0,0,107,Released,2022,Desperate to find a wife Shawn goes on one awkward date after another until he meets Violet. He thinks she’s his soulmate but his autism and trusting nature keep him from realizing she’s actually a prostitute. Violet realizes something is different about Shawn and it’s not just because he has a condition that allows him to “hear” colors. Shawn thinks he’s found a potential wife while Violet thinks she’s found her ticket out of her own trapped life. Based on the award-winning novel.,1,14,83
810,Petrol,Drama,en,Arenamedia,0,0,95,Released,2022,While scouting locations for a university project Eva crosses paths with Mia; later they meet again at a house party and an intense friendship soon forms between the introverted student filmmaker and the inscrutable but magnetic performer. As the pair becomes ever more entwined so does the supernatural begin to entangle with the everyday revealing the cracks between memory and make-believe reality and fantasy. All the while Eva seeks to better understand her friend – and her own self – leading her deeper into the surreal rabbit hole that is Mia’s life.,1,,
811,Psycho Sweet 16,TV Movie-Thriller-Drama-Crime,en,Feifer Worldwide-Reel One Entertainment,0,0,85,Released,2022,When a high school junior is forced to transfer to a new school after her mom is admitted to rehab she quickly rubs the reigning mean girl the wrong way. The teen’s aunt and uncle offer to throw a sweet sixteen party to help her adjust but the jealous queen bee will stop at nothing to destroy her plans including murder. The teen’s mom must redeem herself and help save the party but more importantly her relationship with her daughter.,1,,
821,Entropy,Horror,en,HaleHouse Productions,0,0,80,Released,2022,On the same day Abbey is diagnosed with ovarian cancer she and her girlfriend Miranda are invited to dinner by Miranda’s former self-help group to celebrate the return of their estranged friend Scott who left to discover the origins of their practices. Throughout the night Abbey realizes that all is not as it seems that no one is as who they’ve portrayed themselves to be and that Scott and the others have their own sinister methods by which they intend to heal her cancer-wracked body.,1,40,75
822,Monsters in the Closet,Horror-Thriller,en,Purgatory Blues LLC,0,0,89,Released,2022,When famous horror author Raymond Grant dies under mysterious circumstances his daughter returns home to investigate his death. Jasmin discovers her father was using evil black magic to write his newest horror masterpiece. When the author’s audio book is played out loud monsters zombies and terrifying beings spring from the undead pages to haunt the living. Never open a Pandora box that can’t be closed.,1,,
823,Brie's Bake Off Challenge,Comedy-Family,en,The Momentem Productions,0,0,100,Released,2022,"Brie Hayes is an aspiring baker who wishes to win her school's Spring Bake Off Challenge. Troubles ensue when Brie's confidence reaches an ultimate low and her ""arch nemesis"" Vanessa does everything she can to slim Brie's chances of winning. Brie's family and her best friend Millie must help her gain perspective and practice to win. Stakes are high as these pre-teens compete for the grand prize of $5000 and for four Cosmo Land tickets. This is the ultimate baking movie for children and adults who love watching cooking and baking shows.",1,,
829,Sins in the Suburbs,Thriller-TV Movie,en,Johnson Production Group,0,0,85,Released,2022,Heather a struggling artist living in a quiet neighborhood meets her new neighbor: the good-looking photographer Tyler. While at first intrigued Heather begins to question if Tyler may be involved in reports of a local serial killer.,1,,
831,The Dreams of Rene Sendam,Drama,en,Mutiny Pictures-Blue Barn Productions,0,0,78,Released,2022,Rene Sendam is deeply troubled. A lonely graduate student studying poetry and an often alienating eccentric Rene leads a fantasy life built on delusion and wonder… and a real life of isolation and rejection. “The Dreams of Rene Sendam” follows Rene’s friendships with three other students including with Marie DiPierro a free spirit traumatized by her father’s untimely death. Eventually Rene’s dangerous dreams threaten to rupture reality putting Marie's life at risk.,1,,
832,Scented with Love,TV Movie-Comedy-Romance-Family,en,Champlain Media-CMW Spring Productions,0,0,85,Released,2022,After training as a junior perfumer in Paris American Rosalie fails to secure a job in France leaving her no option but to return home to the small town she was brought up in with her sister. With a small inheritance from her late grandmother she decides to try to rent a store to sell her own perfume. The only space available is shared with the local furniture store owned by the previously geeky kid from school Jason who has now blossomed into a handsome man.,1,,
836,Here Out West,Drama-Adventure,en,Australian Broadcasting Corporation-Spectrum Films-Emerald Productions-Co-Curious-Mind Blowing World,0,0,101,Released,2022,A baby is kidnapped from hospital by a desperate grandmother. Her flight sets off a chain of events that bring together complete strangers over the course of one day.,1,100,
837,Deadly Cheer Mom,Thriller-Mystery-TV Movie,en,MarVista Entertainment-Robbins Entertainment-Tubi TV,0,0,87,Released,2022,High school cheerleading captain Beth has her world turned upside down when salacious videos of her smoking and drinking circulate around the school resulting in her being kicked off the squad. Beth insists the videos are fake but nobody believes her. To get her life back on track Beth must catch the culprit behind the videos and prove her innocence. As she delves into her own investigation all signs point to the person she least suspected.,1,,
841,Maybe Someday,Comedy-Drama,en,Ballet Diesel Films,0,0,90,Released,2022,In the midst of separating from her wife Jay attempts to move across the country to start her life over again. She stops in the middle to stay with her high school best friend who she used to be secretly in love with and befriends a charismatic gay man who has long given up on love. Struggling to move forward with the next chapter of her life memories of the past resurface as Jay grapples with the inevitable cycles of love loss and everything in between.,1,,
844,Sister With A Secret,Thriller-TV Movie,en,Cartel Pictures-The Cartel,0,0,85,Released,2022,After a teenage girl goes missing her family must figure out her secrets in order to find out the kidnapper’s identity and motive. As more evidence is revealed and a police investigation commences the truth repeatedly distorts leading to a shocking reveal.,1,,
846,Alone with You,Horror-Thriller,en,Untapped,0,0,83,Released,2022,As a young woman painstakingly prepares a romantic homecoming for her girlfriend their apartment begins to feel more like a tomb when voices shadows and hallucinations reveal a truth she has been unwilling to face.,1,74,55
848,The Art of Love,Comedy,en,Philippe Weibel,0,0,106,Released,2022,Eva is in her mid-50s and is stuck in a rut. Her marriage has lost all passion and she begins to write reviews for a sex toy start-up hoping the extra cash will fund a holiday that could rekindle the spark.,1,0,60
852,You Can Never Go Home Again,Thriller,en,Global Genesis Group,0,0,92,Released,2022,When Izzy returns to her husband's hometown of Clinton Mississippi her husband is seduced by their daughter's teacher who has devious plans to take over Izzy's place. Izzy must fight to regain her beautiful family.,1,,
853,7 Deaths of Maria Callas,Drama-Music,en,Bayerische Staatsoper,0,0,93,Released,2022,A meditation on the female body as a source of both power and pain that focuses on the tragic figure of renowned American-Greek opera singer Maria Callas (1923-77) whose stunning soprano voice captivated audiences around the world in the mid-20th century while her life was wracked by scandal and personal suffering.,1,,
855,Love Under the Lemon Tree,TV Movie-Comedy-Romance-Family,en,Maple Island Films-Reel One Entertainment-Champlain Media,0,0,85,Released,2022,When aspiring travel photographer Beck decides to enter a prestigious photography competition she heads to sunny Serenity island. Staying at the town’s charming Lemon Tree Farm Beck meets gruff but handsome owner Joshua and the pair strike a deal: he’ll help her discover the town’s hidden gems if she helps with the farm’s PR. Working together is no walk in the park to begin but sparks soon fly when they discover they have more in common than they first thought… Could love be in the air or will one big secret ruin the fledgling romance?,1,,
871,Wild Bones,Mystery-Drama-Horror,en,Doghead Productions,0,0,86,Released,2022,Fay reconnects with her sister Alice as she misremembers the cause of her father's disappearance and allows it to consume her.,1,,
872,A Job to Die For,Thriller-TV Movie,en,Dawn's Light,0,0,87,Released,2022,Landing a dream job can have deadly consequences . A young woman who dreams of working in the fashion industry jumps at the chance to work for a celebrity model turned fashion designer but after a series of extreme outbursts and bizarre events she begins to question whether her job is worth it after all.,1,,
873,Daryn's Gym,Drama,en,Nostalgia Productions,0,0,89,Released,2022,Daryn Miller is a cry-baby wimp who still carries his baby fat. He isn’t a cunning businessman like his granddad who opened a fitness club in a Johannesburg suburb 60 years ago. And he’s definitely not a winner like his father who – as a successful bodybuilder – helped the business flourish. Under Daryn’s management debts rise and membership decreases. On top of that he finds a hostile competitor in Stars Fitness a chain run by a dyed-in-the-wool career woman who prefers to destroy her competitors instead of out-compete them.,1,,
875,Higher Methods,Mystery-Thriller,en,IM Filmworks,0,0,90,Released,2022,Matt is an actor whose sister goes missing years prior. His search for her leads to fanatical theatre group whose leader employs horrifying methods in sharing the art of performance. What follows for Matt is a descent down the rabbit hole until he cannot determine what is real and what is fiction.,1,,
881,Hecuba,History-Drama,en,Eclipse Films,0,0,115,Released,2022,Troy has fallen. It’s the end of war and the beginning of something else. Something worse. As the cries die down after the final battle there are reckonings to be made. Humiliated by her defeat and imprisoned by the charismatic victor Agamemnon the great queen Hecuba must wash the blood of her buried sons from her hands and lead her daughters forward into a world they no longer recognize. Agamemnon has slaughtered his own daughter to win this war. But now another sacrifice is demanded…,1,,
885,Personal History,Drama,en,Illumination Cinema,0,0,78,Released,2022,While researching for a grant a history major and her documentarian friend discover a man who has not physically aged in over 100 years. They set out to learn everything they can about his life and to meet the phenomenon himself.,1,,
889,A Deer in the Woods,Horror-Comedy-Thriller,en,Hunter Run Road Productions,0,0,123,Released,2022,A group of amateur film students who set out to make a horror film in a secluded cabin in the woods. Harper an aspiring actress has signed on to Director Cyrus Wakefield’s horror project as an understudy. However when Abby the lead actress mysteriously disappears Harper is given the opportunity of a lifetime to star in her first movie. But when Harper arrives to the secluded cabin she begins to notice that Wakefield and members of his crew are hiding something sinister. As Harper tries to survive the night she slowly starts to uncover the truth: that she may be trapped in a horror film herself.,1,,
891,Baby Blues,Drama-Romance,en,MVP Pictures,0,0,100,Released,2022,Dinda decides to stop working to take care of her newborn baby while Dika is working hard to support her family. It turns out that having children is not what they both imagined. The intervention of the mother-in-law Dance Mother adds to the stress level. The accumulation of all this makes Dinda experience Baby Blues syndrome which slowly hurts Dinda and Dika's relationship. In the climax Dinda's unintentional request was granted: they swap bodies. They must learn to understand and understand each other.,1,,
892,A Unicorn for Christmas,Family-Drama,en,MarVista Entertainment,0,0,87,Released,2022,A heartwarming tale about young Izzy who is not happy about having to move from the big city to the country when her family takes over an old farm. Things change for Izzy when she finds a small white pony named Snowflake and becomes convinced that the horse is a real unicorn.,1,,96
901,Red Flags,Thriller-Drama,en,Cash Hawk Films,0,0,75,Released,2022,A woman's deep love for her husband could ruin her life and reality after she learns that he may actually be an active serial killer.,1,,
903,A Stitch in Time,Drama,en,Hadden Motion Pictures,0,0,98,Released,2022,A heart-warming story about a former dressmaker who reinvents herself after befriending a young Chinese fashion designer who inspires her to follow her dream. A joyful and moving journey that beautifully celebrates age culture and the diversity of Australian life.  When Liebe’s partner Duncan loses his job singing at the local pub the former dressmaker becomes motivated to help him realise his dream to record an album. Inspired by Hamish a young Chinese fashion designer who she meets at the local markets she decides to make clothes again to compensate for the loss of income.,1,,
904,The Unknown Country,Drama,en,Cold Iron Pictures,0,0,85,Released,2022,A grieving woman embarks on an unexpected road trip from the Midwest toward the Texas-Mexico border as she grapples with the pain of her recent loss and seeks to understand her place in the world.,1,88,
905,Karmalink,Science Fiction-Adventure-Drama,en,XYZ Films-Good Deed Entertainment-LevelK-802 Films,0,0,101,Released,2022,In this Buddhist sci-fi mystery a teenage orphan in the slums of Phnom Penh Cambodia investigates her friend’s past-life visions uncovering a conspiracy of scientific reincarnation.,1,89,
